K0101001B|目标数: 1|题目数: 16|对应题目: 000756, 000891, 000989, 000994, 000995, 000996, 000997, 002692, 002716, 002720, 002723, 002727, 004311, 004781, 004794, 010026
K0101002B|目标数: 1|题目数: 6|对应题目: 000019, 002708, 002714, 002725, 004770, 007692
K0101003B|目标数: 1|题目数: 2|对应题目: 003501, 007743
K0101004B|目标数: 1|题目数: 7|对应题目: 000899, 000993, 001001, 002692, 002693, 002728, 020040
K0102001B|目标数: 1|题目数: 6|对应题目: 000001, 000073, 000991, 002722, 004781, 020028
K0102002B|目标数: 1|题目数: 5|对应题目: 000002, 000073, 000356, 000397, 002704
K0102003B|目标数: 1|题目数: 5|对应题目: 000015, 000990, 000999, 002704, 007684
K0102004B|目标数: 1|题目数: 2|对应题目: 000005, 002702
K0103001B|目标数: 1|题目数: 33|对应题目: 000004, 000011, 000012, 000014, 000015, 000016, 000037, 000910, 000964, 000996, 000997, 000998, 000999, 001004, 001005, 001008, 001052, 002692, 002693, 002701, 002705, 002706, 002707, 002715, 002718, 002724, 002730, 003695, 004227, 007750, 010027, 020030, 020034
K0103002B|目标数: 1|题目数: 2|对应题目: 000992, 002726
K0103003B|目标数: 1|题目数: 5|对应题目: 001001, 001002, 001017, 002700, 010027
K0103004B|目标数: 1|题目数: 1|对应题目: 007730
K0103005B|目标数: 1|题目数: 8|对应题目: 000998, 001000, 001003, 002702, 002717, 010021, 020035, 020041
K0104001B|目标数: 1|题目数: 68|对应题目: 000004, 000005, 000026, 000028, 000045, 000346, 000356, 000368, 000377, 000386, 000397, 000426, 000446, 000456, 000476, 000496, 000526, 000547, 000556, 000576, 000617, 000636, 000666, 000686, 000706, 000726, 000746, 000768, 000857, 000879, 001006, 001008, 001009, 001014, 001015, 001016, 002694, 002695, 002696, 002698, 002699, 002701, 002703, 002708, 002711, 002713, 002714, 002715, 002719, 002721, 002724, 002725, 002729, 002730, 003590, 003610, 003631, 003673, 003695, 003707, 004144, 004271, 004292, 004374, 004399, 004769, 007733, 007750
K0104002B|目标数: 1|题目数: 17|对应题目: 000007, 000013, 000776, 001010, 001011, 001012, 001013, 001017, 002699, 002710, 002712, 002726, 004768, 007744, 007745, 007751, 020065
K0104003B|目标数: 1|题目数: 27|对应题目: 000004, 000005, 000045, 000327, 000466, 000627, 000700, 000836, 000910, 001007, 001011, 001012, 001015, 002699, 002701, 002706, 002711, 002718, 002724, 003695, 003719, 003745, 003760, 004354, 004399, 004769, 007750
K0104004B|目标数: 1|题目数: 13|对应题目: 000007, 000013, 001010, 001011, 002699, 002710, 002712, 002726, 004164, 004768, 007744, 007751, 020065
K0104005B|目标数: 1|题目数: 0|对应题目: 
K0104006B|目标数: 1|题目数: 25|对应题目: 000006, 000028, 000377, 000416, 000476, 000496, 000506, 000536, 000556, 000596, 000627, 000706, 000716, 000736, 000846, 002694, 002695, 002697, 002699, 002724, 003707, 003775, 004353, 004388, 004399
K0104007B|目标数: 1|题目数: 10|对应题目: 000776, 001010, 002699, 002703, 002710, 002726, 004768, 007744, 007745, 020065
K0105001B|目标数: 1|题目数: 15|对应题目: 000009, 000939, 000942, 002746, 003708, 003758, 004282, 004365, 004378, 007709, 007736, 007737, 007738, 007739, 007740
K0105002B|目标数: 1|题目数: 20|对应题目: 000019, 000326, 002732, 002733, 002746, 004323, 004365, 004378, 004847, 007738, 007739, 007740, 007741, 007746, 007747, 007748, 007749, 010030, 020072, 020079
K0106001B|目标数: 1|题目数: 27|对应题目: 000008, 000009, 000012, 000436, 000648, 000988, 002737, 002745, 002746, 004261, 004365, 004378, 004894, 007731, 007734, 007736, 007737, 007738, 007739, 007740, 007741, 007742, 007746, 007747, 007748, 007749, 020079
K0106002B|目标数: 1|题目数: 1|对应题目: 007733
K0106003B|目标数: 1|题目数: 30|对应题目: 000003, 000431, 000932, 000939, 000942, 000984, 000986, 000987, 002709, 002735, 002736, 002740, 002741, 002743, 002744, 003665, 003729, 004873, 004886, 004894, 007719, 007725, 007726, 007727, 007728, 007729, 007730, 007732, 007735, 020081
K0107001B|目标数: 1|题目数: 7|对应题目: 000977, 000979, 000980, 000981, 004854, 004878, 020089
K0107002B|目标数: 1|题目数: 6|对应题目: 000976, 000978, 002731, 002747, 004875, 004876
K0107003B|目标数: 1|题目数: 15|对应题目: 000010, 000017, 000018, 000019, 000074, 000924, 000983, 001139, 002734, 004864, 004875, 004876, 007732, 007735, 020081
K0108001B|目标数: 1|题目数: 2|对应题目: 007726, 007727
K0108002B|目标数: 1|题目数: 12|对应题目: 001040, 001041, 001042, 001043, 001044, 001045, 001046, 001047, 001048, 001049, 001050, 001051
K0108003B|目标数: 1|题目数: 15|对应题目: 001049, 001050, 001052, 001053, 001054, 001055, 001056, 001057, 001058, 001059, 001060, 001061, 001070, 003777, 009446
K0109001B|目标数: 1|题目数: 6|对应题目: 000016, 001069, 001070, 001071, 001072, 007750
K0109002B|目标数: 1|题目数: 0|对应题目: 
